,track_id,playlist_name,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
31,4vhkI8x68EaGQR3Kn7Pwhc,Pa las caderas y el corazón,Esta Noche,Mike Bahía,0.727,0.848,5,-5.727,1,0.0584,0.013,0.0,0.102,0.792,130.007,168521
32,5py3FJrHEuR67BjR7wm8uj,Pa las caderas y el corazón,Me Maten - Live at NPR's Tiny Desk,C. Tangana,0.614,0.583,7,-10.012,1,0.523,0.526,0.0,0.718,0.794,79.04,242497
33,5IbxKO5UfeWkkS9EeOLPul,Pa las caderas y el corazón,Movimiento De Caderas,Rayo & Toby,0.707,0.637,9,-5.652,0,0.448,0.129,0.0,0.138,0.695,180.172,185547
34,1MfqPCs3Y722VK6zkWZ98Z,Pa las caderas y el corazón,Pasarela,Ñejo & Dalmata,0.798,0.821,7,-6.143,1,0.0596,0.0985,5.84e-06,0.178,0.525,95.004,227467
35,0X5jHsNHshuHNfAWs1sxQ5,Pa las caderas y el corazón,Permitame,Tony Dize,0.629,0.668,8,-6.974,1,0.15,0.0287,0.0,0.159,0.904,214.025,185013
36,5YJ4BVvTFmVCxUyhKejHfR,Pa las caderas y el corazón,Pa' Que Retozen,Tego Calderón,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667
37,4f49sFQko7jHLEFd3tCf5p,Pa las caderas y el corazón,Ojitos Chiquitos,Don Omar,0.801,0.839,1,-3.267,0,0.24,0.0206,7.65e-05,0.0946,0.792,170.011,229027
38,69Ej1xrGjOcHvIMtMKxK0G,Pa las caderas y el corazón,Dile,Don Omar,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600
39,4eDjNcAyIuJFhQ31Fvvoc1,Pa las caderas y el corazón,"Sexo, Sudor y Calor",J Alvarez,0.743,0.891,0,-4.696,1,0.0461,0.192,0.0,0.0859,0.962,167.946,250227
40,3NgDulHteTVdF026IxY5bW,Pa las caderas y el corazón,RX,Don Omar,0.7,0.869,11,-4.452,0,0.284,0.109,0.0,0.13,0.907,180.124,225013
41,1q8NdCAQ9QUjpYiqzdd3mv,Pa las caderas y el corazón,Atrévete-Te-Te,Calle 13,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,239307
42,6DxS2ZRl8G3EagHkovYXA2,Pa las caderas y el corazón,Zun Da Da,Zion,0.782,0.767,9,-7.981,0,0.0871,0.266,3.64e-05,0.0947,0.622,88.005,304091
43,79zvVrn65ksbiGQxrtV4I5,Pa las caderas y el corazón,Guaya Guaya,Don Omar,0.788,0.873,7,-2.322,1,0.117,0.00607,0.00052,0.0908,0.703,91.981,193613
44,1Koxb4StDE2K7XsuDunx76,Pa las caderas y el corazón,Algo Musical,Ñejo & Dalmata,0.881,0.639,1,-6.682,1,0.101,0.0708,3.33e-06,0.0547,0.706,107.013,234907
45,3u2jlo9kygiIAq7SPVuw6S,Pa las caderas y el corazón,Dile a Tu Amiga,Dalmata,0.794,0.576,2,-12.111,1,0.0591,0.225,0.00381,0.0854,0.914,94.993,214121
46,4fFgpzgSkmn3wajioLBPOr,Pa las caderas y el corazón,Mis Ojos Lloran Por Ti,Big Boy,0.794,0.831,8,-9.235,1,0.331,0.0135,1.12e-06,0.11,0.328,172.407,295533
47,3eg6Yi9x0gN3k4nD4h6il3,Tangos y boleros,Dos Gardenias,Buena Vista Social Club,0.547,0.2,4,-16.734,0,0.0392,0.826,3.84e-05,0.135,0.551,91.768,182973
48,4jM0v4ReOQh5RntXfiG3NN,Tangos y boleros,Moliendo café,Vieja Trova Santiaguera,0.447,0.623,6,-6.136,0,0.0485,0.716,0.0,0.19,0.703,91.914,295400
49,7dRfobhDNnsEgB2ZArxA1f,Tangos y boleros,El Cuarto de Tula,Buena Vista Social Club,0.552,0.664,9,-13.167,1,0.0454,0.595,0.000409,0.299,0.858,104.776,444533
50,6hGfBBs2yvBcMbfTMsARGx,Tangos y boleros,Patria Querida,Los Guaracheros De Oriente,0.84,0.565,0,-9.145,1,0.0666,0.703,1.18e-05,0.127,0.726,124.247,189962
51,2OQnzGYIOhcyWkfzckNPp5,Tangos y boleros,Mueve la Cintura Mulata,Cuarteto Oriente,0.65,0.556,4,-11.344,0,0.0457,0.0657,0.000566,0.0632,0.763,103.109,487867
52,5kw0PCwGS9QCMwvmsXyvxx,Tangos y boleros,Era,Estopa,0.696,0.558,2,-7.85,0,0.0437,0.711,0.000204,0.102,0.429,90.82,182480
53,47haQcqBOue2RAsVXER52f,Tangos y boleros,Historia de un Amor,Eydie Gormé,0.61,0.336,2,-11.797,0,0.0327,0.843,0.0,0.0677,0.622,100.735,150867
54,1rsD5809qvVFMa0dhoVoSx,Tangos y boleros,Amor de Loca Juventud,Buena Vista Social Club,0.572,0.408,3,-14.563,1,0.036,0.839,0.0043,0.461,0.723,142.374,201667
55,4LuPdTen7rjDe7MghbLBZU,Tangos y boleros,La sitiera,Omara Portuondo,0.618,0.286,6,-10.162,1,0.0366,0.873,0.00129,0.102,0.708,97.346,235467
56,3LUCCjAyXpgpH250Fylcpb,Tangos y boleros,Historia de un amor,Diego El Cigala,0.588,0.25,9,-15.081,0,0.0595,0.783,0.00169,0.178,0.553,128.075,197947
57,4zCsjPyHGJz8Vx0luwq4M1,Tangos y boleros,La negra Tomasa,Compay Segundo,0.565,0.623,6,-6.297,0,0.134,0.549,0.0,0.099,0.79,94.641,238413
58,3zS87IyV97u0BJGGpPixyL,Tangos y boleros,Corazón Loco,Bebo Valdés,0.636,0.239,9,-12.096,0,0.0545,0.881,0.000405,0.104,0.303,120.238,195893
59,1euRYSBwftamqajk6Qh0CE,Tangos y boleros,Hoy para Siempre,Los Rolling Ruanas,0.471,0.538,7,-6.211,0,0.0305,0.765,0.0,0.149,0.799,124.943,273000
60,3k2qOgZygd9YxrYGqkK6Dj,Tangos y boleros,Por Las Buenas,Billo's,0.574,0.562,9,-6.65,0,0.0688,0.162,9.98e-05,0.106,0.853,201.353,155539
61,1FFwPJxL60iQPSmXK81t6q,Tangos y boleros,Entre Luca Y Juan Mejía,Vicente Garcia,0.863,0.7,2,-5.04,1,0.0408,0.811,0.327,0.176,0.923,122.945,227013
62,0TCgYIbphnGDyOrdTHRvtJ,Tangos y boleros,Robarle tiempo al tiempo,Café Quijano,0.795,0.697,10,-6.362,1,0.0347,0.834,0.00111,0.217,0.851,93.987,252656
63,1xlyMt6tEJPNAB48zgY6FU,Tangos y boleros,"El Cuarto de Tula - Ao Vivo Em Teatro Karl Marx,Cuba/2011",Diogo Nogueira,0.492,0.669,7,-8.208,0,0.127,0.576,0.0,0.76,0.663,109.99,273067
64,6XKvP9q9B4RGIVmvZ22MwT,Tangos y boleros,Calle la Pantomima,Melendi,0.465,0.869,11,-5.9,0,0.0746,0.678,9.03e-06,0.136,0.544,158.217,188293
65,1nVCAvTvxAZ7oPh0eWEv83,Tangos y boleros,Meurte Del Angel,Astor Piazzolla,0.444,0.589,9,-13.875,0,0.562,0.724,0.276,0.945,0.574,154.234,199240
66,1PXmOgfoM78vdhBjrjrTzu,Tangos y boleros,Trenzas,Angelito Martinez,0.648,0.23,9,-10.578,0,0.0886,0.771,0.0,0.122,0.337,111.113,204715
67,52gnzovIQX4fc8CzmXV3qI,Tangos y boleros,La Bicicleta Blanca,Horacio Ferrer,0.594,0.209,0,-13.287,1,0.249,0.774,0.0,0.07,0.531,104.854,231520
68,3Z34yqQzVeD8wExZGCw9po,Tangos y boleros,Por una Cabeza,Angelito Martinez,0.575,0.315,9,-9.48,0,0.135,0.774,0.0,0.0978,0.429,81.363,154795
69,2tGrykC11z4OMBFfKCq0kt,Tangos y boleros,El Choclo,Tita Merello,0.543,0.419,11,-8.915,1,0.129,0.817,0.0,0.0693,0.659,148.881,183040
70,2bR0drb2tOaznRIfOTHzwF,Tangos y boleros,Chiquilín de Bachín,Amelita Baltar,0.383,0.251,1,-13.056,1,0.0442,0.826,0.0,0.115,0.14,78.434,221934
71,0Hja9zlVQHC768PsPjWscW,Tangos y boleros,Sabor a Mí,Eydie Gormé,0.651,0.376,8,-11.32,1,0.0435,0.809,1.72e-06,0.13,0.593,97.011,168400
