,track_id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
598,3MhdH8PxqH1FuQp3HBptUI,I'm Still in Love with You (feat. Sasha),Sean Paul,0.765,0.666,7,-5.384,1,0.172,0.102,0.0,0.116,0.756,87.002,273360
599,0oayy8OHHzuT1URyldeu9P,I Know,Drake Bell,0.54,0.731,7,-5.623,1,0.039,0.00511,0.0,0.103,0.444,77.483,225267
600,6Yxwkhk5LW0uiurTMT7jLL,Repent,Shaggy,0.909,0.73,8,-7.731,1,0.284,0.0213,9.87e-06,0.0364,0.929,95.963,221960
601,2TvXEmAg9M7XbEMoYgfORy,Fire,La-33,0.467,0.801,7,-5.125,1,0.121,0.756,8.25e-06,0.354,0.718,168.449,142993
602,4bndkI1TTh7itdsyixtDoD,Baianá,Barbatuques,0.777,0.573,10,-12.078,0,0.335,0.47,0.0138,0.177,0.622,95.087,279680
603,0SaKhiBPgdRaQKA7Bxu3ek,Putita,Babasónicos,0.477,0.753,0,-6.112,1,0.0343,0.514,0.00381,0.17,0.521,178.013,225707
604,5YyetAy34sgROhslaW3BZc,Frijolero,Molotov,0.774,0.653,2,-4.304,1,0.0361,0.107,0.0,0.0609,0.845,95.009,210133
605,5NMJBgmG9ObrKwf4geqIjY,Pong,Piel Camaleón,0.7,0.692,9,-5.326,1,0.0402,0.0624,0.0,0.0617,0.895,99.991,208505
606,5mscPr5RK0ivJGDfIjFnvL,No se dice suerte,El Kanka,0.72,0.789,0,-7.068,1,0.0878,0.574,4.21e-06,0.287,0.515,92.914,263867
607,0DwuNFM9PCFrxQSRDVjmuL,Vente Negra,Habana con kola,0.594,0.54,7,-5.37,1,0.0581,0.164,8.46e-06,0.176,0.512,84.366,239000
608,5h6u7bYQ67roYVVBOuhrf4,Síndrome de Fregoli,LosPetitFellas,0.537,0.919,8,-6.793,1,0.441,0.00955,1.12e-05,0.183,0.405,190.247,187427
609,4SlGfTlNnFpn3eaHIPGRLC,The Sun (feat. JAWNY),Myd,0.741,0.737,5,-6.667,0,0.0348,0.077,0.0,0.408,0.835,126.024,159427
610,2WABPhoT8arU264l7e8sdc,Me Parece Perfecto,La Mambanegra,0.673,0.794,7,-5.116,1,0.0395,0.188,0.00476,0.176,0.503,119.995,345822
611,4iCTmJi34Oqm6LJKvN7Sqz,Yo se ya,La Mambanegra,0.764,0.556,7,-9.154,1,0.15,0.826,1.16e-06,0.394,0.603,99.973,302162
612,5K2ppB1J3f3E1z4qr2JzMs,A las Mil y Quinientas,El Taiger,0.884,0.926,5,-4.449,1,0.0503,0.176,0.000342,0.0448,0.882,106.01,139481
613,31B1VsFz9TqTki0oEGHRPs,Sos mi Cura,La Mambanegra,0.708,0.85,8,-3.995,1,0.0709,0.492,0.0,0.127,0.828,84.954,313235
614,2kUaQv15d6Uh86lqwejWn6,Oye,La Derecha,0.584,0.9,0,-8.09,1,0.0463,0.00119,0.000638,0.283,0.802,139.92,157003
615,468KewwnYDaGofS7CHhR3K,Margie,Ray Barretto,0.484,0.503,5,-9.83,0,0.0868,0.756,1.1e-05,0.144,0.882,98.461,199560
616,4qzOWxATzkBZ6OEPmX45xE,Good Bait,Dizzy Gillespie,0.537,0.461,0,-8.615,0,0.0367,0.688,0.243,0.0535,0.747,131.075,180960
617,3upgttvhruFLbG344id0oc,Constellation,Charlie Parker,0.48,0.468,0,-12.855,0,0.126,0.863,0.00999,0.342,0.857,84.529,146600
618,5hzBfWRccowwIig0Aeqob1,Passport,Charlie Parker,0.437,0.344,0,-15.468,1,0.101,0.899,0.0703,0.187,0.844,200.642,177600
619,2FdS0qZKu1X5d7s8lYP37t,Ornithology - Live - Storyville,Charlie Parker,0.601,0.407,11,-13.615,0,0.0532,0.833,0.055,0.133,0.737,116.426,265853
620,2QP17zdbzlAaFNd5Bp7Ll0,Sugar Hips,J.C. Heard,0.59,0.2,0,-12.765,1,0.0445,0.939,0.285,0.131,0.857,139.941,171907
621,2QblGB2oC9PXz5JldRCkmt,Tautology,Lennie Tristano,0.624,0.444,7,-7.891,0,0.0382,0.792,0.0103,0.303,0.781,117.493,164613
622,2P91JIkBSJ6eg6vdj8NPgZ,Parallel,Lennie Tristano,0.527,0.389,6,-10.716,0,0.037,0.993,0.856,0.123,0.77,110.084,147920
623,1fr6e309SFCvmKmbzKy7dX,Focus,Tadd Dameron & His Orchestra,0.46,0.235,5,-14.289,1,0.0345,0.961,0.874,0.164,0.653,174.745,182027
624,0TrY3m2S9hlj0FnUa3WhOw,72 Hacheros Pa' Un Palo,Manolito Simonet y su Trabuco,0.867,0.553,0,-8.709,1,0.0395,0.245,1.87e-05,0.0525,0.948,130.073,219350
625,7uQOfh1O1a6IA8g4VWFrd8,Disco Azúcar,Juan Formell y Los Van Van,0.73,0.855,5,-7.902,1,0.0635,0.678,1.29e-06,0.132,0.861,109.347,324840
626,5CuD5wCHs8QfEYn6nUJi4f,Free Man,Screaming Headless Torsos,0.675,0.913,8,-5.307,1,0.0527,0.0133,0.00895,0.367,0.697,116.441,267853
627,4bL5GNTF2zw5WyEle7irMf,Shake It On,Jamiroquai,0.767,0.624,1,-7.496,1,0.0543,0.0183,0.171,0.0674,0.218,120.003,314493
628,0lQaRBNcl3xf0jRdzTdbtQ,Funky Train,The Poets Of Rhythm,0.725,0.887,0,-6.084,1,0.143,0.22,0.0243,0.0911,0.795,100.024,286813
629,44ZKnfWEkp7wPs035j4Tua,Casio,Jungle,0.816,0.492,10,-7.464,0,0.0752,0.431,0.0896,0.0995,0.765,115.989,234370
630,4U0gBPfjAzs7V0IR6UhOM6,Travelling Without Moving - Remastered,Jamiroquai,0.67,0.96,1,-9.371,0,0.0596,0.0179,0.64,0.122,0.605,126.312,220080
