,track_id,track_name,artist,Playlist1,Playlist2,Playlist3,Playlist4,Playlist5,Playlist6,Playlist7,probabilidad de Pl1,probabilidad de Pl2,probabilidad de Pl3,probabilidad de Pl4,probabilidad de Pl5,probabilidad de Pl6,probabilidad de Pl7
25,47GsUibP7RiUL7SQ7YFfhu,Hold On,SBTRKT,Cumbiones,Cowboy,Guapachoso,A Andrés Cepeda le gusta esto,,,,0.22888960733541172,0.17999467365620916,0.1620850269031684,0.11384743433253551,,,
26,2rFAwfDZW5bjcwaxw1qTKX,DAYS GO BY,SBTRKT,"Canciones en ingles que me depriman o me duerman, lo que pase primero",Tangos y boleros,,,,,,0.374113040193196,0.22617582070918077,,,,,
27,0fiTN2N5HEIefAHtm00vYG,Wildfire,SBTRKT,Guapachoso,De guitarras y voces,,,,,,0.4180886934817747,0.27564468854982266,,,,,
28,5exsngywf8qMS6f00gKVWY,Esa Estrella Era Mi Lujo,Patricio Rey y sus Redonditos de Ricota,"Canciones en ingles que me depriman o me duerman, lo que pase primero",Tangos y boleros,Cowboy,,,,,0.3255853341472714,0.22492812218491964,0.11423897333336018,,,,
29,5bDXe2wsNqx4ZOPhudNdWu,Llanto De Cocodrilo,Ray Barretto,TimeTronica,Iluminación,Sun is shinning,,,,,0.4443548815548102,0.15155204324906738,0.06495185108101557,,,,
30,6vZHfWbbIrhZdp84og9hCx,Vengo Venenoso,Issac Delgado,TimeTronica,Deep in Rain,Iluminación,Guapachoso,,,,0.30302191470819106,0.1461858694347328,0.12494488144823382,0.0658600697809053,,,
31,77xxECUnbUWI9Msge5t2Y8,Mujer Divina,Joe Cuba Sextet,A Andrés Cepeda le gusta esto,Cumbiones,Iluminación,Popsito,Sun is shinning,,,0.17574610026496323,0.14276252833392616,0.12432063843104163,0.12321506367400324,0.1172061556524772,,
32,5QoPR8k0JxwBHJgHmE6gYR,La Malanga Brava,Joe Cuba Sextet,Iluminación,TimeTronica,,,,,,0.32595234930293593,0.2744866870873361,,,,,
33,7eeRhz7BqYDVs0rkEkGkfH,Trompeta Y Trombón,Ray Barretto,TimeTronica,Iluminación,,,,,,0.5249702437679487,0.22198105628422637,,,,,
34,6kWG4fIWsx6Qf4b0kgRMXM,No No No,Boogaloo Assassins,TimeTronica,Iluminación,,,,,,0.4371592826121271,0.19424661931232712,,,,,
35,0kvz9C3SSq5S2j0rJdwVMv,Bilongo,Fania All Stars,TimeTronica,,,,,,,0.6755706017362746,,,,,,
36,2SFQr3uJF8wD7iLqGVaLNi,Brooklyn Boogaloo,Spanglish Fly,TimeTronica,Iluminación,Cumbiones,,,,,0.40952800168715925,0.15136739663274795,0.10171448847021972,,,,
